KS2 prior attainment group,KS2 average scaled score range,Attainment 8 average,English average,Maths average,EBacc average,Open average,"Average EBacc slots filled
 (out of 3)","Average open slots filled
 (out of 3)"
1,59 to 82,15.96,3.86,2.39,4.37,5.35,1.86,2.05
2,82.5 to 86,16.64,4.18,2.5,4.37,5.59,2.12,2.23
3,86.5 to 87.5,19.02,4.76,3.07,5,6.19,2.23,2.32
4,88 to 89,20.79,5.15,3.45,5.49,6.71,2.33,2.42
5,89.5 to 90.5,22.01,5.37,3.75,5.86,7.03,2.39,2.45
6,91 to 92,23.71,5.74,4.16,6.34,7.48,2.45,2.49
7,92.5 to 93,25.02,6.02,4.48,6.67,7.84,2.48,2.53
8,93.5 to 94,26.43,6.34,4.82,7.06,8.22,2.55,2.59
9,94.5 to 95,27.65,6.55,5.13,7.44,8.53,2.57,2.61
10,95.5 to 96,29.13,6.82,5.51,7.92,8.89,2.61,2.63
11,96.5 to 97,30.24,7.03,5.78,8.2,9.23,2.63,2.66
12,97.5 to 98,32.3,7.46,6.24,8.82,9.78,2.68,2.70
13,98.5 to 99,33.78,7.73,6.56,9.29,10.19,2.70,2.72
14,99.5 to 100,35.47,8.06,6.95,9.81,10.65,2.73,2.74
15,100.5 to 101,37.27,8.39,7.32,10.39,11.18,2.77,2.78
16,101.5 to 102,38.94,8.72,7.68,10.9,11.65,2.79,2.79
17,102.5 to 103,41.03,9.1,8.13,11.59,12.2,2.81,2.82
18,103.5 to 104,42.98,9.47,8.52,12.23,12.75,2.83,2.83
19,104.5 to 105,45.13,9.85,8.98,12.95,13.35,2.85,2.86
20,105.5 to 106,47.46,10.28,9.45,13.74,13.99,2.87,2.87
21,106.5 to 107,49.77,10.7,9.93,14.51,14.63,2.89,2.89
22,107.5 to 108,52.57,11.17,10.53,15.48,15.39,2.91,2.90
23,108.5 to 109,55.3,11.66,11.09,16.38,16.18,2.92,2.92
24,109.5 to 110,57.61,12.06,11.57,17.16,16.82,2.93,2.93
25,110.5 to 111,60.22,12.5,12.12,18.06,17.54,2.94,2.93
26,111.5 to 112,62.87,12.99,12.63,18.92,18.33,2.95,2.94
27,112.5 to 113,65.48,13.39,13.2,19.81,19.07,2.95,2.95
28,113.5 to 114,68.16,13.82,13.77,20.73,19.84,2.96,2.96
29,114.5 to 115,70.61,14.23,14.29,21.53,20.56,2.97,2.96
30,115.5 to 116,73.17,14.6,14.91,22.36,21.31,2.97,2.97
31,116.5 to 117,75.47,14.95,15.42,23.1,21.99,2.98,2.97
32,117.5 to 118,77.28,15.27,15.77,23.69,22.55,2.98,2.97
33,118.5 to 119,79.75,15.7,16.26,24.42,23.37,2.98,2.98
34,119.5 to 120,82.03,16.15,16.71,25.02,24.15,2.99,2.99
